pano_id,best_yaw,best_view_path,top_20_M1,top_20_M2,top_20_M3,top_20_M4,top_20_M5
pE0KQxK1UuNMRnhkLmodTg,270,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\pE0KQxK1UuNMRnhkLmodTg_270.jpg,1,1,1,1,1
5q1_qHGiWP0glAki_2oTRA,90,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\5q1_qHGiWP0glAki_2oTRA_090.jpg,1,1,0,1,1
QzMd74_7Yeff6YgDNyi2YA,270,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\QzMd74_7Yeff6YgDNyi2YA_270.jpg,1,0,1,1,1
L93lz-apm9d7ThB9ldi6YQ,90,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\L93lz-apm9d7ThB9ldi6YQ_090.jpg,1,0,1,0,1
6jMgDoUo0OX-_1WJ0481hw,90,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\6jMgDoUo0OX-_1WJ0481hw_090.jpg,1,0,0,1,1
-8hTRznWQS2FET3PIiz99A,90,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\-8hTRznWQS2FET3PIiz99A_090.jpg,0,0,1,1,1
8HB7cpW8qt_6kvvD9b2D2g,90,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\8HB7cpW8qt_6kvvD9b2D2g_090.jpg,0,0,1,1,1
GU6MEgrUll5p6mOKX7O1KQ,270,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\GU6MEgrUll5p6mOKX7O1KQ_270.jpg,1,1,0,0,0
PO-5KYBVQbsZ4dPjA2vd6g,90,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\PO-5KYBVQbsZ4dPjA2vd6g_090.jpg,1,1,0,0,0
x0yyV64K815vf2pZFKnAPA,270,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\x0yyV64K815vf2pZFKnAPA_270.jpg,1,1,0,0,0
CQP3uMAlobXtwK6dlJcmbg,270,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\CQP3uMAlobXtwK6dlJcmbg_270.jpg,1,0,1,0,0
ZUVWpjAW_RCAuQFBgmYQDA,90,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\ZUVWpjAW_RCAuQFBgmYQDA_090.jpg,1,0,1,0,0
cpqhv9Rjb5B7XVuQMY7reQ,270,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\cpqhv9Rjb5B7XVuQMY7reQ_270.jpg,1,0,1,0,0
blXDCgzLGyNiV_ma4ELu_g,270,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\blXDCgzLGyNiV_ma4ELu_g_270.jpg,1,0,0,0,1
ohIm2SdJ1gIQffK2BYqrYg,270,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\ohIm2SdJ1gIQffK2BYqrYg_270.jpg,1,0,0,0,1
OyFey7TwV5GrhicRry6oiA,270,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\OyFey7TwV5GrhicRry6oiA_270.jpg,0,0,1,0,1
aD2j2wCCnw4tnnM_y4aOYQ,270,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\aD2j2wCCnw4tnnM_y4aOYQ_270.jpg,0,0,1,0,1
90L9lMBYvod2Jyy0JwajjQ,90,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\90L9lMBYvod2Jyy0JwajjQ_090.jpg,0,0,0,1,1
co7aGdotjirG7jIWaRXh4A,270,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\co7aGdotjirG7jIWaRXh4A_270.jpg,0,0,0,1,1
2bplupzItRwcd4jrhvrrPA,180,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\2bplupzItRwcd4jrhvrrPA_180.jpg,1,0,0,0,0
7zqc_5vCV9noJn-4mKEPwA,270,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\7zqc_5vCV9noJn-4mKEPwA_270.jpg,1,0,0,0,0
VahihbthkdDVRGmumgjzrg,270,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\VahihbthkdDVRGmumgjzrg_270.jpg,1,0,0,0,0
VuTIbd50JY4GQbVUCLy83w,270,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\VuTIbd50JY4GQbVUCLy83w_270.jpg,1,0,0,0,0
_k4y4KWZAlzByaThepP5pw,270,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\_k4y4KWZAlzByaThepP5pw_270.jpg,1,0,0,0,0
elqG5pwU4uxHCpETZgrbiQ,270,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\elqG5pwU4uxHCpETZgrbiQ_270.jpg,1,0,0,0,0
ueefn4lAKZ5ie1pPmji0GQ,270,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\ueefn4lAKZ5ie1pPmji0GQ_270.jpg,1,0,0,0,0
3NNerl9LOKKPEd7p08CmHg,270,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\3NNerl9LOKKPEd7p08CmHg_270.jpg,0,1,0,0,0
61kdjoXsaCU8z4OM5MkydQ,270,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\61kdjoXsaCU8z4OM5MkydQ_270.jpg,0,1,0,0,0
CoF8dLn7eg0pdVILnkQLkw,270,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\CoF8dLn7eg0pdVILnkQLkw_270.jpg,0,1,0,0,0
DSHv871I7kYztLs4o3uPiw,270,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\DSHv871I7kYztLs4o3uPiw_270.jpg,0,1,0,0,0
KQ2qoyxmqzzslxv_rGTUuw,270,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\KQ2qoyxmqzzslxv_rGTUuw_270.jpg,0,1,0,0,0
UOROjXAD_XFIWsBAJaItdQ,90,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\UOROjXAD_XFIWsBAJaItdQ_090.jpg,0,1,0,0,0
VUkC-BSBqtAKU1cMaqfOdQ,90,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\VUkC-BSBqtAKU1cMaqfOdQ_090.jpg,0,1,0,0,0
YeaDYbnY0Ec3nE2mjf0dUA,270,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\YeaDYbnY0Ec3nE2mjf0dUA_270.jpg,0,1,0,0,0
aglCcSG0SwLNq1X_tiOywA,270,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\aglCcSG0SwLNq1X_tiOywA_270.jpg,0,1,0,0,0
iM5SWl_4M2nO_NfPqNiRzA,90,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\iM5SWl_4M2nO_NfPqNiRzA_090.jpg,0,1,0,0,0
jQ9HrSzbLZunRRwFdZW5cg,270,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\jQ9HrSzbLZunRRwFdZW5cg_270.jpg,0,1,0,0,0
n501G7FgmRW1hBWgQBZggg,90,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\n501G7FgmRW1hBWgQBZggg_090.jpg,0,1,0,0,0
p-tm9orK6kOiKyvKQ9ftkQ,270,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\p-tm9orK6kOiKyvKQ9ftkQ_270.jpg,0,1,0,0,0
pAkKXsekpX_s9AhbPINCpg,90,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\pAkKXsekpX_s9AhbPINCpg_090.jpg,0,1,0,0,0
sLLYh0L7H9jwEul76e1cCw,270,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\sLLYh0L7H9jwEul76e1cCw_270.jpg,0,1,0,0,0
0ByVqbBqd0Xiox2OhycxUw,270,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\0ByVqbBqd0Xiox2OhycxUw_270.jpg,0,0,1,0,0
5zQgjTFreXXwUJsxZl-zxA,270,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\5zQgjTFreXXwUJsxZl-zxA_270.jpg,0,0,1,0,0
96noJkCxyDlXf_N-iWKIkQ,90,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\96noJkCxyDlXf_N-iWKIkQ_090.jpg,0,0,1,0,0
BM2nZjBPieUrdESpHgcweA,90,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\BM2nZjBPieUrdESpHgcweA_090.jpg,0,0,1,0,0
BoBnw0kE-hSCudCliTC6wg,90,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\BoBnw0kE-hSCudCliTC6wg_090.jpg,0,0,1,0,0
J6hUqFXCGf_pGvl10XPA8w,90,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\J6hUqFXCGf_pGvl10XPA8w_090.jpg,0,0,1,0,0
cuJEMUjZ8-CA_00sXAZ1SQ,270,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\cuJEMUjZ8-CA_00sXAZ1SQ_270.jpg,0,0,1,0,0
g9nxvvlQpOrdLnpHkZ2zuw,270,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\g9nxvvlQpOrdLnpHkZ2zuw_270.jpg,0,0,1,0,0
nMd4N0w6T5UapXxUSvRtDA,90,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\nMd4N0w6T5UapXxUSvRtDA_090.jpg,0,0,1,0,0
om2LeLTpxiXMrdtLecW8-A,270,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\om2LeLTpxiXMrdtLecW8-A_270.jpg,0,0,1,0,0
APY0g9qX0roKGCz_7UwUsg,90,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\APY0g9qX0roKGCz_7UwUsg_090.jpg,0,0,0,1,0
It8ZwslkDe5KUVqZh-oDcg,90,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\It8ZwslkDe5KUVqZh-oDcg_090.jpg,0,0,0,1,0
Ngcu0CASS5gxStMzmfZEWA,270,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\Ngcu0CASS5gxStMzmfZEWA_270.jpg,0,0,0,1,0
T3q8pX1I3Q4iai1SFs3tqw,90,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\T3q8pX1I3Q4iai1SFs3tqw_090.jpg,0,0,0,1,0
TH04CWk_FwtUkbCEqtZ0aw,90,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\TH04CWk_FwtUkbCEqtZ0aw_090.jpg,0,0,0,1,0
Z_wT2ry7Qouus-tbofB8TQ,270,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\Z_wT2ry7Qouus-tbofB8TQ_270.jpg,0,0,0,1,0
_nrceSws8ZERyFR_ZfU45g,90,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\_nrceSws8ZERyFR_ZfU45g_090.jpg,0,0,0,1,0
a3kY7BS7cIdCIY2thSvc9w,270,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\a3kY7BS7cIdCIY2thSvc9w_270.jpg,0,0,0,1,0
jrce2IWihlk-T4v73xSvGQ,270,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\jrce2IWihlk-T4v73xSvGQ_270.jpg,0,0,0,1,0
ks35yQ_tsKMbPfe2ctskPw,90,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\ks35yQ_tsKMbPfe2ctskPw_090.jpg,0,0,0,1,0
p3_lJPa7ETBz0SyDJNC9Ag,90,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\p3_lJPa7ETBz0SyDJNC9Ag_090.jpg,0,0,0,1,0
pvDcJVQax1eBV26QQNLFtg,270,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\pvDcJVQax1eBV26QQNLFtg_270.jpg,0,0,0,1,0
0-q0HDNAVlaR-aCnp9eXYw,270,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\0-q0HDNAVlaR-aCnp9eXYw_270.jpg,0,0,0,0,1
2od7xLR7cbjGmv8YpfJ9Nw,90,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\2od7xLR7cbjGmv8YpfJ9Nw_090.jpg,0,0,0,0,1
FnEiuH57sr-OHDhIC06jYA,270,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\FnEiuH57sr-OHDhIC06jYA_270.jpg,0,0,0,0,1
KEBGPMkDGhjfgTttAR72aQ,270,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\KEBGPMkDGhjfgTttAR72aQ_270.jpg,0,0,0,0,1
gGOJDsSIqbnsFiO8pajHkA,90,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\gGOJDsSIqbnsFiO8pajHkA_090.jpg,0,0,0,0,1
o3W5L47mwo95EGPFFcTVkQ,270,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\o3W5L47mwo95EGPFFcTVkQ_270.jpg,0,0,0,0,1
pGydWPnY_V9wofFjBOfFHQ,270,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\pGydWPnY_V9wofFjBOfFHQ_270.jpg,0,0,0,0,1
